,Challenge Name,Difficulty [1-4],Description,Creator,Graphic?,Notes
,,Level One (37),,,,
1,Search for the Cube,Lv1,Find and use the B.S.C.O.S. Device ,The Red Tide,1,
2,Clocksmith's Revenge,Lv1,Defeat Clocksmith for his Painite Gem,The Red Tide,3,
3,Grawlix's Revenge,Lv1,Defeat Grawlix for his Painite Gem,The Red Tide,4,
4,Gift for Aiden,Lv1,Gift Aiden a Painite Gem,The Red Tide,6,
5,False Hope,Lv1,Use a False Wall to escape an engagement,The Red Tide,7,
6,Gift for Doll Face,Lv1,Conceal Doll Face with an Almond Water,The Red Tide,8,
7,Hypnotized Mind,Lv1,Engage a Monitor,The Red Tide,9,
8,Gift for Arch Raven,Lv1,Give Arch Raven a Death Moth Jelly during an engagement. ,The Red Tide,10,
9,Hole in the Wall,Lv1,Use Shrink Drink to go through a Punctured Wall,The Red Tide,11,
10,Freeing the Frowner,Lv1,Use Memory Fluid on Frowner on the Field of Play.,The Red Tide,12,
11,Forgetting to Remember,Lv1,Use Memory Fluid on yourself,The Red Tide,13,
12,Faceling Hunt,Lv1,You must defeat 2 Facelings before you escape the Backrooms,NowayArtemus,2,
13,Ball Chase,Lv1,You must have at least 2 Electric Tennis Balls in your Inventory before you can escape the Backrooms,NowayArtemus,3,
14,Dead End Pro,Lv1,Defeat 3 entities while at a Dead End.,NowayArtemus,7,
15,Hoarder Mode,Lv1,"When using an item, lose 1 Sanity in addition to any normal Sanity effects",Halcyon was Here,1,Masochist Mode: Take 1 DiH damage each time you use an item instead of losing Sanity.  
16,Feeding the Hounds,Lv1,Conceal 2 Hounds using Death Moth Jelly before exiting.,NowayArtemus,8,
17,Choke Out,Lv1,Defeat an Entity using Poison Hall as the final blow.,The Red Tide,16,
18,Death Moth Delivery,Lv1,Receive 2 items from Death Moth encounters.,NowayArtemus,10,
19,Death's Door,Lv1,Use 2 Death Shrooms before exiting.,NowayArtemus,12,
20,Prism Pain,Lv1-4,"For each level, the Golden Stairs must be moved once before an escape can be made. Each time the stairs are moved, you must pay a Painite gem gathered from a unique source (each entity is unique, as is each room). At the max level, 5 gems have to be brought back to the stairs before exiting.",Dacsinu,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
,,,,,,
,,Level Two (30),,,,
1,Hopper Hunter,2,Send an Entity to the Discard Pile using Hopper Device,The Red Tide,1,
2,Greener on the Other Side,2,Exit through Greener Pastures,The Red Tide,2,
3,Tilted Run,2,You must have 2 Liquid Pain cards in your Inventory and 10 or less Sanity to escape the Backrooms,NowayArtemus,Y,Gettin liquored up and wildin' out in the Backrooms
4,Sweet Revenge,2,Defeat the Conductor with Crimson Knight as your companion,The Red Tide,3,
5,Faceling Hunt: Glutton,2,"You must defeat 2 Facelings before you escape the Backrooms, but with only 1 in your deck",NowayArtemus,Y,GLUTTON FOR PUNISHMENT MODE: Play with only 1 Faceling in the deck for a bad time.
6,Jar O' Bright Pro,2,"Use Jar 'O Bright twice, once as a concealment item, and once to gain CCS from a Dark Hall.",NowayArtemus,,
7,Hound Tamer,2,Defeat both a Hound and an Ancient Hound before escaping.,NowayArtemus,,
8,Faceling Fight,2,Defeat both a Faceling and an Ancient Faceling before escaping.,NowayArtemus,,
9,Searching for Stranglers,2,Defeat both a Strangler and an Ancient Strangler before escaping.,NowayArtemus,,
10,Friends with Grawlix,2,Receive 2 items from Grawlix encounters.,NowayArtemus,,
11,Flash Sphere Pro,2,"Use Flash Sphere 3 times, once as a concealment item, once as an attack item, and once to gain CCS from the Dark Hall.",NowayArtemus,,
12,Mirror Peace,2,Deal at least 8 damage using the Mirror Piece.,NowayArtemus,,
13,Jar O' Dark Pro,2,"Use Jar O' Dark twice, once as a concealment item and once to gain CCS from a Bright Hall.",NowayArtemus,,
14,All outta gum,2,Use Dumb Gum on two different Entities before exiting.,NowayArtemus,,
15,Poison Pro,2,Defeat an Entity using Poison Hall as the only form of damage.,The Red Tide,4,
16,Mario Run,2,You must have 3 different types of Shrooms in your Inventory before escaping the Backrooms,NowayArtemus,Y,So many shrooms!
17,Shrink Pro,2,"Use Shrink Drink twice, once as a concealment item and once to enter a Punctured Wall.",NowayArtemus,,
18,Poisoned Hall Pro,2,Defeat 2 Entities while in a Poisoned Hall.,NowayArtemus,,
19,Dark Hall Pro,2,Defeat 2 entities while in a Dark Hall.,NowayArtemus,,
20,Bright Hal Pro,2,Defeat 2 entities while in a Bright Hall.,NowayArtemus,,
21,Destroyed Hall Pro,2,Defeat 2 entities while in a Destroyed Hall.,NowayArtemus,,
22,Escape Pro,2,Defeat a red light or higher entity before entering a False Wall.,NowayArtemus,,
23,Purity of the Gem,2,"When exiting the Golden Stairs (of the Lobby Levels) flip the painite gem. If it lands gem up, you escaped. If it doesnt, you lose the gem and you can not pass. The gems purity was not good enough to break the barrier.        ",Passing Wanderer,,
24,Double Trouble,2,Use Scarabacks to collect a 2nd item on the FOP. ,LogantheBackroomsNerd,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
,,Level Three (14),,,,
1,Ancient One,3,Defeat the Ancient Conductor,The Red Tide,Y,
2,Skip into Reality,3,Acquire and use Skip Rock to enter the Golden Stairs,The Red Tide,Y,
3,Poison Expert,3,Defeat 2 Entities using Poison Hall as the only form of damage,The Red Tide,,
4,Fearless Fighter,3,"Engage and defeat an entity in every hallway type (Poisoned, Dark, Bright, Destroyed) during a single game.",The Red Tide,,
5,Tilted Run On HARD,3,You must have 2 Liquid Pain cards in your Inventory and 5 or less Sanity to escape the Backrooms,NowayArtemus,Y,Gettin liquored up and wildin' out in the Backrooms
6,Super Mario Run,3,You must have 4 different types of Shrooms in your Inventory before escaping the Backrooms,NowayArtemus,Y,Even more Shrooms!
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
,,,,,,
,,Level Four (5),,,,
1,Madness Combat ,4,"Defeat 7 entities all using all 7 different attack items (Boom Shrooms, Shock Shrooms, Death Shrooms, Liquid Pain, Electric Tennis Ball, Mirror Piece, and Flash Sphere)",Logan the Backrooms Nerd,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,The Entity Next Door,,Anytime you lose DIH to an entity you also lose the same amount of sanity.,BigTasty,,
,Here Comes the Sun,,Go into 4 Bright Halls without any protection (Master Goggles/Jar O'Dark) before escaping.,LuckyLogan,,
,You Monster! 1,,Defeat Doll Face with Almond Water in your inventory.,LuckyLogan,,
,You Monster! 2,,"Drink Almond Water while in an encounter with Doll Face, then proceed to defeat her.",RestedKnight42,,
,You Monster! 3,,Use Almond Water on the FOP as the sacrificial item when the Void is revealed. Proceed to use Hopper to send Doll Face home.,RestedKnight42,,
,You Monster! 4,,Use 2 Almond Water on the FOP as the sacrificial items when the Space Portal is revealed. Then proceed to use Hopper to send Doll Face home.,RestedKnight42,,
,You Monster! 5,,"Have a Painite Gem and Golden Stairs on the FOP. Use Lindy's Momento to conjure the Space Portal. Sacrifice 2 Almond Water on the FOP. Laugh. Then proceed to use Hopper to send Doll Face home. Leave a wake in your path, Wanderer.",RestedKnight42,,
,Spider Slaughter,,Defeat 2 Tsuchigumos before escaping.,LuckyLogan,,
,Items of Time,,Receive 4 items from the Clocksmith.,LuckyLogan,,
,Big and Bulky,,Defeat 4 entities with at least 3 HP.,LuckyLogan,,
,Long Start,,Start a noclip round with 10 sanity.,LuckyLogan,,
,Helping Too Much,,Deck Out twice while Freeman is your companion.,LuckyLogan,,
,Sticky Situation,,Send 2 entities to the DP by using Gold Tape.,LuckyLogan,,
,Hide and Seek,,Enter a false wall while you're engaged and with at least 2 Entities on the field of play.,LuckyLogan,,
,Weakened by the Abyss,,"While the void is on the FOP, all attack items do half Damage rounded up.",LuckyLogan,,
,The Quiet Game,,Conceal 2 unfriendly entities using liquid silence.,LuckyLogan,,
,Trapped,,Have at least 3 Dead Ends on the Field of Play.,LuckyLogan,,
,Ambush!,,"When you defeat a Gem-eligible entity, after flipping to get the Painite, if you received a Gem, immediately engage another Unfriendly Entity. If none are on the FOP, summon one from the top of the Pull Pile.",LuckyLogan,,
,The Invisible Man,,Cover 2 entities with room cards while Cloak Coat is active.,LuckyLogan,,
,Who's Laughing Now?,,Defeat 2 Laughters before escaping.,LuckyLogan,,
,The Returner,,Defeat Bakteria Twice with only 1 Bakteria in your deck.,LuckyLogan,,
,Nap Time,,Conceal 2 entities using Snooze Shrooms,LuckyLogan,,
,Shocking,,Defeat an entity with at least 4 HP using only Shock Shrooms.,LuckyLogan,,
,Pinged to Death,,Defeat an entity with at least 3 HP with only Electric Tennis Balls,LuckyLogan,,
,Party in the Backrooms,,Have companions join your party at least 4 times before you escape.,Passing Wanderer,,
,Everything we can Carry,,Escape the Backrooms with 1 companion and 3 items,NowayArtemus,,
,Cutting Corners,,Have at least 4 Dead Ends on the Field of Play.,LuckyLogan,,
