id,Challenge Name,Difficulty [1-4],Description,Creator,Notes
,,Level One (20),,,
1,Hazard Removal,Lv1,Enter a Watery Corridor with at least 3 Hazards and Lose Sanity and Deck in Hand to discard a Hazard. ,NowayArtemus,
2,Vertical Escape,Lv1,"After entering the Spiral Staircase, spend the Sanity to place an engaged Entity into the Discard Pile.",NowayArtemus,
3,Murked,Lv1,Defeat an Entity while in the Murky Pool.,NowayArtemus,
4,Lootin' Lockers,Lv1,Gain an Item in the Apodyterium.,NowayArtemus,
5,Quick Evasion,Lv1,Send an Entity to the Discard Pile after entering the Almond Water Pool.,NowayArtemus,
6,Dream Works,Lv1,Disengage an Entity after entering the Dream pools. ,NowayArtemus,
7,Buried Treasure,Lv1,Engage a Hazard Crab and pick up the item that was Buried under it.,NowayArtemus,
8,Smiling Ally,Lv1,Gain Robert Ducky as a Companion.,NowayArtemus,
9,Hopping Mad,Lv1,Engage Bullfrog Man by having him move onto or next to your FOP space.,NowayArtemus,
10,Urchin's Relief,Lv1,Discard 2 Hazards when you engage the Sea Urchin.,NowayArtemus,
11,Shroom Vampire,Lv1,Gain 4 cards from the Pull Pile after defeating an Entity with the Lifebound Shrooms.,NowayArtemus,
12,Bathed in Acid,Lv1,Deal 4 Damage in a single attack with the Day Bright Spray.,NowayArtemus,
13,Ladder to Land,Lv1,Discard a Hazard with the Pool Ladder.,NowayArtemus,
14,Cool Cat,Lv1,Discard the Pool Cat to avoid losing Sanity from an Entity engagement.,NowayArtemus,
15,Return Flight,Lv1,Return Grin-and-Groan to your Inventory in the same round it was discarded.,NowayArtemus,
16,It Always Comes Back,Lv1,Return the Boomerang Buoy to your Inventory once it leaves the FOP.,NowayArtemus,
17,Take that!,Lv1,Defeat an Entity with only the Foam Sword.,NowayArtemus,
18,Ambush!,Lv1,Become engaged with an Entity from the Apodyterium's effect.,NowayArtemus,
19,Turning Point,Lv1,Have at least 3 Turn Arcades on the Field of Play at the start of the Movement Round.,NowayArtemus,
20,Slipped Right By,Lv1,Conceal Bull Frog Man while it's 2 or less spaces away from you on the FOP.,NowayArtemus,
,,,,,
,,Level Two (18),,,
1,Fountain of Blood,Lv2,Engage and Defeat an Entity in the Sacrificial Fountain Room.,NowayArtemus,
2,To the Death!,Lv2,Become engaged with a Green light or higher Entity when visiting the Death Slides. ,NowayArtemus,
3,Danger Level Rising,Lv2,Gain a 4th Hazard by entering a Darkened Poolroom.,NowayArtemus,
4,Slide of Pain,Lv2,Retrieve an Attack Item to your Inventory that deals at least 4 Damage after moving into the Water Slide. ,NowayArtemus,
5,All Dried Up,Lv2,Discard at least 2 Hazards after entering the Dry Room.,NowayArtemus,
6,Water Works,Lv2,Add an Almond Water and a Cashew Water to your Inventory from visiting the Aquarium Cafe.,NowayArtemus,
7,Enemies to Friends,Lv2,Gain the Water Faceling as a Companion.,NowayArtemus,
8,The Power of Foam,Lv2,"Have Foams absorb 2 Entities, then use it to defeat an Entity. ",NowayArtemus,
9,Goalie Energy,Lv2,Have Shadow Sighton block and discard a Concealment item.,NowayArtemus,
10,Josan the Tank,Lv2,Have at least 7 cards under Josan the Lifeguard at the end of an Action Round. ,NowayArtemus,
11,Not just a Toy,Lv2,Deal at least 4 Damage using the Foam Sword in a single attack.,NowayArtemus,
