,Challenge Name,Difficulty [1-4],Description,Creator,Notes
,,Level One (37),,,
1,Guide,1,Equip 2 Wearables at the same time,The Red Tide,
2,Two's Company,1,Escape with a Companion by your side,The Red Tide,
3,Full Stomach,1,Use 3 Consumables on yourself,Hass Thrift,
4,Sneaky ,1,Conceal 3 Unfriendly Entites on the Field of Play,The Red Tide,
5,No-Clip Surprise!,1,"During the no-clip round, deal the first 8 cards facedown followed by the next 8 cards face-up (as normal)with 4 cards in your DIH. The face down cards will actas surprises. When uncovered, reveal the card beneath.If it's an entity and there are currently no entities beingengaged, you must engage the revealed entity. If it's anitem and you have not picked up an item during the round,you must add it to your inventory. If you deck out, youmust deal the cards as a no-clip surpise again.",Hass Thrift,The surprise factor on this Challenge is awesome
6,Max Sanity Intact,1,You must have 20 Sanity before escaping the Backrooms,Hass Thrift,Great introductory challenge idea!
7,Full Backpack,1,Escape the Backrooms with 4 items in your Inventory,NowayArtemus,Consider them souvenirs :)
8,Dissolving Painite,1,"If you have a Painite Gem when you reveal the Exit Card (Golden Stairs/Golden Exit/Etc), flip your gem. If it lands Movement Side up, you lose it.",NowayArtemus,"An interesting challenge to contend with, but can be a real pain with bad luck!"
9,Unyielding Focus,1,"When you deck out, engaged Entities stay engaged and do not get shuffled in with the rest of the cards",NowayArtemus,Credit to Hass Thrift from Discord for inspiring this challenge
10,Empty Pockets ,1,You must escape the Backrooms with no items in your Inventory. You cannot discard an item without using it or exchanging it.,NowayArtemus,
11,Hoarder Mode,1,"When using an item, lose 1 Sanity in addition to any normal Sanity effects",Halcyon was Here,Masochist Mode: Take 1 DiH damage each time you use an item instead of losing Sanity.  
12,They Grow or Somethin',1,Items with 5 Attack or higher take up two item slots.,RestedKnight,
13,Resourceful Wanderer,1,Use 4 different types of consumables before escaping.,The Red Tide,
14,Experienced Explorer,1,Use 3 Unique Attack Items before exiting.,NowayArtemus,
15,Strategic Exit,1,Successfully complete the game without using any consumables.,The Red Tide,
16,Three's a Crowd,1,Have 3 different companions before exiting.,NowayArtemus,
17,Fearless,1,Defeat 4 different Entities before escaping the Backrooms.,NowayArtemus,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
,,Level Two (30),,,
1,Sanity Cap,2,"You cannot exceed 20 Sanity. If your Sanity were to exceed 20, deduct your Sanity cost instead of adding it. For example, if you had 18 Sanity and moved into Hallway with +3 Sanity, then you would end up with 15 Sanity.",Hass Thrift,Great introductory challenge idea!
2,Woke Up and Chose Violence,2,Shuffle X Unfriendly Entities into your deck. You must defeat X number of these entitites before escaping.,Support Flamingo (Albert),
3,Brink of Insanity (Lvl 1),2,You cannot escape the Backrooms with more than 10 sanity,Hass Thrift,Good one-step-beyond-introductory challenge!
4,Pain Mode,2,Engaged Unfriendly Entities deal one more DIH damage every round and reduce one extra sanity upon engagement,NowayArtemus,Fun when you want to ramp up the challenge a notch.
5,Entity Exterminator,2,Defeat 6 different Entities before escaping the Backrooms.,The Red Tide,
6,Ravenous Void,2,Navigation Points placed onto an Unfriendly Entity or a Permanent Fixture go into the Discard Pile,Halcyon was Here,A neat idea this player stumbled onto by accident!
7,Small Pockets,2,You only have 3 Inventory slots,Halcyon was Here,
8,Super Hoarder Mode,2,"When using an item, lose 2 Sanity in addition to any normal Sanity effects",Halcyon was Here,Masochist Mode: Take 2 DiH damage each time you use an item instead of losing Sanity.  
9,Don't Let Them Follow You,2,"(All hostile/dual entities need to be gem eligible) Do not have any gem eligible entities on the FOP or Engagement when you escape. If they see you use a gem to escape, they may learn how to follow you back to reality. Dont doom the world you fought to return to.",Passing Wanderer,
10,Purity of the Gem,2,"When exiting the Golden Stairs (of the Lobby Levels) flip the painite gem. If it lands gem up, you escaped. If it doesnt, you lose the gem and you can not pass. The gems purity was not good enough to break the barrier.",Passing Wanderer,
11,Gatekeeper Guardian,2,"When the Golden Stairs or Golden Exit card is revealed on the FIeld of Play, search the Pull Pile and then discard for the first Unfriendly entity of at least Red or Higher rarity, then place it on top of the Exit Card. You must defeat this entity to be able to access the escape. If this entity would be discarded for any reason besides being defeated in combat, shuffle the Golden Stairs/Exit into the Pull Pile.",NowayArtemus,
12,Enemy Territory,2,You may only have 1 Friendly/Dual type entity in your deck. The rest must be Unfriendly Entities.,fr33b33,
13,Overwhelming Forces,2,Have 2 Portal to Death cards in your deck as well as an exit card. Remove 1 room card of your choice before the start of the game.,Dacsinu,
,,,,,
,,Level Three (14),,,
1,Brink of Insanity (Lvl 2),3,You cannot escape the Backrooms with more than 5 sanity,Hass Thrift,Tough at times but totally do-able
2,You Can't Run!,3,"With the exception of the no-clip round, if any entity is revealed in the FOP and there are no entities currently engaged then you must either engage them immediately or use an item to distract them (if possible). If multiple entities are in the FOP at the same time, you may choose which one to engage first. Once an entity is defeated and there are other entities in the FOP, you must immediately engage with the next one the following round.",Hass Thrift,This challenge can get messy!
3,Light at the End of the Hallway,3,"Place the Golden Stairs at the end of your Pull Pile. Do not shuffle the Golden Stairs with the rest of the Pull Pile. When your Pull Pile is empty and the Golden Stairs is in your DIH, reset the board and attempt to escape!",Hass Thrift,
4,Avoid Them!,3,"You must escape the Backrooms without engaging with any Unfriendly Entities. If you must engage with an Unfriendly Entity, you lose.",Support Flamingo (Albert),"Paininte Wall, Lady Lindy, and Frowner can be used to complete this challenge.
A monthly promo ""Hemlock"" can also be used."
5,Beastly Powers,3,Each Entity that holds a Painite Gem has double health,NowayArtemus,Brutal fun when paired with the Pain Mode Challenge.
6,Maximum Painite,3,"You must loot two Painite Gems in one game. Upon defeat, these Entities enter your Inventory and take up an Inventory slot.",NowayArtemus,This is a really fun challenge due to how much it can restrict your Inventory. Excellent puzzle.
7,Fearless Exterminator,3,Defeat 8 different Entities before escaping the Backrooms.,The Red Tide,
8,Bleeding Out (Week One),3,Escape the Backrooms with 4 DIH or less,NowayArtemus,
9,Enemy Territory,3,You may only have Unfriendly Entities in your deck. Friendly and Dual types are banned,fr33b33,
10,One of Everything,3,"You must escape with a companion, a consumable, an attack item, and a wearable item. ",NowayArtemus,
11,Purple Light District,3,All hostile entities in your deck must be purple light or higher,Dacsinu,
12,Red Light District,3,All Red Light or higher entities in your deck must be Unfriendly.,NowayArtemus,
,,,,,
,,Level Four (5),,,
1,The Terminator,4,Defeat 10 different Entities before escaping the Backrooms.,The Red Tide,
2,Near Obliteration,4,Escape the Backrooms with 1 Sanity and 1 DIH,NowayArtemus,"This is madness, nobody should try this, but tell me if you do ;)"
3,Brink of Insanity (Lvl 3),4,You cannot escape the Backrooms with more than 1 sanity,Hass Thrift,Very challenging!
4,Maximum Painite Madness,4,"You must loot three Painite Gems in one game. Upon defeat, these Entities enter your Inventory and take up an Inventory slot.",NowayArtemus,
5,Time Trial,1,Escape the Backrooms in 20 min or less,The Red Tide,
,,2,Escape the Backrooms in 15 min or less,The Red Tide,
,,3,Escape the Backrooms in 10 min or less,The Red Tide,
,,4,Escape the Backrooms in 5 min or less,The Red Tide,
