#,Name,Creator,Difficulty,30 Room Cards,10 Entity Cards,10 Item Cards,2 Outcome Cards,Special Notes,Winrate,Comments
1,Holiday Challenge 2023,The Red Tide,Purple Light,"4 Hallway
10 Corner 
10 Dead End 
2 Destroyed Hall
2 Punctured Wall
1 The Pitfalls (Promo) 
1 False Wall","1 December 2022 promo (xmas agent)
1 Sighton (Promo)
1 Bakteria
1 Grawlix
1 Moth's Nest (Promo)
2 Doll Face 
1 Imitatus Dux (Promo)
2 Smiler","1 Scarlett of Hearts (Promo)
1 Death Shrooms
1 Doll Face's Jack O'Lantern (Promo)
1 Scarabacks
2 Boom Shrooms
1 Shrink Drink
2 Liquid Pain
1 Almond Water","Void 
Golden Stairs",Possible?,30%,Promo Challenge
2,Suit Up!,Damakoss,Green Light,"2 Hallway
7 Corner 
6 Dead end 
2 Destroyed Hall
2 Punctured Wall
2 Poisoned Hall
2 False wall
5 Dark Hall
2 Bright Hall","4 Death Moth
3 Doll Face
2 Grawlix
1 Hemlock (Promo)","3 Liquid Pan
2 Shrink Drink
2 Scarabacks
1 Almond Water
1 Gas Mask
1 Master Goggles","Void 
Golden Stairs","Find the Masks, maybe
Hemlock and Escape!",,Promo Challenge
3,Hounds,The Red Tide,Green Light,"5 Hallway
8 Corner
8 Dead End
4 Destroyed Hall
3 Poison Hall
2 False Wall","2 Death Moth
1 Commander Tomas
1 Arch Raven
4 Hound
2 Ancient Hound","4 Death Moth Jelly
2 Shock Shrooms
1 Gas Mask
2 Mirror Piece
1 Death Shrooms","Space Portal
Golden Stairs",,,
4,Strangler v1,The Red Tide,Green Light,"8 Hallway
7 Corner
6 Dead End
4 Dark Hall
2 Lecture Hall
2 Bright Hall
1 False Wall","2 Paper Snakes
1 Death Moth
1 Arch Raven
3 Strangler
1 Clocksmith
1 Ancient Strangler
1 Crimson Knight","1 Death Moth Jelly
2 Electric Tennis Ball
3 Flash Sphere
1 Master Goggles
1 Mirror Piece
1 Dumb Gum
1 Gold Tape","Void 
Golden Stairs",,,
5,Poison Faceling Deck,The Red Tide,Yellow Light,"8 Hallway
8 Corner
6 Dead End
2 Destroyed Hall
2 Lecture Hall
3 Poison Halls
1 False Wall","5 Faceling
1 Commander Tomas
1 Aiden
1 Grawlix
2 Ancient Faceling","4 Liquid Pain
1 Gas Mask
1 Liquid Silence
1 Jar O'Bright
1 Death Shrooms
1 Mirror Piece
1 BSCOS Device","Void 
Golden Stairs",,,
6,Dark Halls Deck,The Red Tide,Yellow Light,"10 Dark Hall
4 Hallway
4 Corner
4 Dead End
2 Lecture Hall
1 Destroyed Hall
3 Bright Hall
2 False Wall","4 Lost Agent
1 Death Moth
2 Doll Face
1 Laughter
1 Clocksmith
1 Lady Lindy","4 Electric Tennis Ball
2 Almond Water
3 Shock Shrooms
1 Skip Rock","Greener Pastures
Golden Stairs",,,
7,Faces Deck Old,The Red Tide,Yellow Light,"10 Hallway
8 Corner
5 Dead End
2 Destroyed Hall
2 Lecture Hall
2 Punctured Wall
1 False Wall","2 Smiler
2 Death Moth
1 Frowner
2 Blusher
2 Laughter
1 Mr. Freeman","4 Liquid Pain
1 Snooze Shrooms
2 Shrink Drink
1 Memory Fluid
1 Scarabacks
1 Gold Tape","Void 
Golden Stairs",,,
8,Halls of Shadowed Light,NowayArtemus,Yellow Light,"Corner x5
Hallway x5
Dead End x5
Dark Hall x7
Bright Hall x3
Destroyed Hall x1
Lecture Hall x1
Punctured Wall x1
Poisoned Hall x2","Monitor x4
Bakteria x2
The Clocksmith x1
Strangler x1
Lady Lindy x1
Mr. Freeman x1","Almond Water x1
Shock Shrooms x1
Shrink Drink x1
Gas Mask x1
Master Goggles x1
Mirror Piece x2
Death Shrooms x1
Skip Rock x1
Hopper Device x1
","Golden Stairs x1
The Void x1","The undying Bakteria has teamed up with the Monitors in their attempt to gain a stranglehold on the Backrooms. There are those who would combat this menace, so seek them out and gain their confidence and assistance in this eternal task for control of the Backrooms. ",,
9,No-Clipping into Wonderland,NowayArtemus,Green Light,"Hallway x4
Corner x8
Dead End x8
Dark Hall x2
Destroyed Hall x3
Bright Hall x2
Punctured Wall x3","Scarlett Knight x1
Ancient Conductor x1
The Clocksmith x1
Cosmonaut Tomac x1
Bakteria x1
Partygoer x2
Frowner x1
Blusher x1
Death Moth x1","Mirror Piece x1
Death Shrooms x1
Master Goggles x1
Shrink Drink x2
Shock Shrooms x2
Liquid Pain x2
BSCOS Device x1","Golden Stairs x1
Greener Pastures x1 ","The Red Queen (Scarlett Knight) has summoned you without your consent into her Wonderland, where the Mad Hatter Ancient  Conductor creates havoc with every whim and madness runs rampant. Can you survive in the mad court of the Backrooms? Will you meet with Cosmonaut Tomac, your white rabbit in this dark place? Or perhaps you'll stumble upon the Cheshire Clocksmith! Anything is possible In the Backroom Wonderland. Can you overcome the madness or will the allure of Greener Pastures capture you and never let go? ",,
10,Lights in the Darkness ,NowayArtemus,Green Light,"Hallway x7               
Corner x6
Dark Hall x5          
Lecture Hall x2
Dead End x3
Poisoned Hall x2
Punctured Wall x1
Destroyed Hall x1
Bright Hall x2
False Wall x1 
","Bakteria x1
Laughter x1
The Conductor x2
(Mythical and Rare versions if possible) 
Smiler x1
Faceling x1
Cosmonaut Tomac x1
Ancient Faceling x1
The Clocksmith x1
Alia the Wanderer x1","Death Moth Jelly x1
Death Shrooms x1
Shock Shrooms x1
Hopper Device x1
Gas Mask x1
Master Goggles x1
BSCOS Device x1
Jar O'Bright x1
Mirror Piece x2","Golden Stairs x1
The Void x1","This deck was built in a booster draft format. What that means is that I opened packs until I could legally build a deck, which took 12 packs altogether. Once I had enough room cards to make a legal deck, I put this together based on that card pool of 120 cards. 

Note: This deck uses two versions of the Conductor (one Mythical rarity, one rare rarity) but with just rare Conductors, this deck does break the rare card limit for Entities. Play at your own risk!",,
